,D_Emis,D_Coal_Cons,D_NatGas_Cons,D_Petrol_Cons
NH '06-07,0,2,2,0
NJ '06-07,2,0,2,2
NM '06-07,0,0,2,2
NV '06-07,2,0,2,0
NY '06-07,2,2,2,2
OH '06-07,2,2,2,0
OK '06-07,0,0,2,0
OR '06-07,2,2,2,0
PA '06-07,2,0,2,0
RI '06-07,2,0,2,0
SC '06-07,2,2,2,0
SD '06-07,2,0,2,2
TN '06-07,0,0,0,0
TX '06-07,0,0,2,0
UT '06-07,2,2,2,0
VA '06-07,2,2,2,0
VT '06-07,0,2,2,0
WI '06-07,2,2,2,0
WV '06-07,2,2,0,0
WY '06-07,2,2,2,2
AK '07-08,0,2,0,0
AL '07-08,0,0,0,0
AR '07-08,2,2,2,0
AZ '07-08,2,2,2,0
CA '07-08,0,0,2,0
CO '07-08,0,0,0,0
CT '07-08,0,2,0,0
DC '07-08,0,0,0,0
DE '07-08,0,0,0,0
FL '07-08,0,0,2,0
GA '07-08,0,0,0,0
HI '07-08,0,2,0,0
IA '07-08,2,2,2,2
ID '07-08,0,0,2,0
IL '07-08,0,2,2,0
IN '07-08,0,0,2,0
KS '07-08,0,0,2,0
KY '07-08,0,2,0,0
LA '07-08,2,2,0,2
MA '07-08,0,0,0,0
MD '07-08,0,0,0,0
ME '07-08,0,0,2,0
MI '07-08,0,0,0,0
MN '07-08,0,0,2,0
MO '07-08,0,0,2,0
MS '07-08,0,0,0,0
MT '07-08,0,2,2,0
NC '07-08,0,0,2,0
ND '07-08,2,2,2,0
NE '07-08,2,2,2,0
NH '07-08,0,0,2,0
NJ '07-08,0,0,0,0
NM '07-08,0,0,2,0
NV '07-08,0,2,2,0
NY '07-08,0,0,0,0
OH '07-08,0,0,0,0
OK '07-08,2,2,2,0
OR '07-08,0,0,2,0
PA '07-08,0,0,0,0
RI '07-08,0,0,2,2
SC '07-08,0,2,0,0
SD '07-08,2,2,2,0
TN '07-08,0,0,2,0
TX '07-08,0,0,2,0
UT '07-08,0,2,2,0
VA '07-08,0,0,0,0
VT '07-08,0,0,0,0
WI '07-08,0,2,2,0
WV '07-08,0,0,0,0
WY '07-08,2,2,2,2
AK '08-09,0,0,2,0
AL '08-09,0,0,2,0
AR '08-09,0,0,2,0
AZ '08-09,0,0,0,0
CA '08-09,0,0,0,0
CO '08-09,0,0,2,0
CT '08-09,0,0,2,0
DC '08-09,2,0,2,2
DE '08-09,0,0,2,0
FL '08-09,0,0,2,0
GA '08-09,0,0,2,2
HI '08-09,0,0,0,2
IA '08-09,0,0,0,0
ID '08-09,0,0,0,0
IL '08-09,0,0,0,0
